"_time","ac_power","total-cpu-utilization","total-disk-accesses","total-disk-blocks","total-disk-utilization","total-instructions_retired","total-last_level_cache_references","total-memory_bus_transactions","total-unhalted_core_cycles"
"03:08:46 2008-Apr-23","234.0","79.85",0,0,0,1773955190,131173800,5363135,1952326907
"03:08:47 2008-Apr-23","237.0","81.29","9.09","72.73","6.87",1732815561,127950372,5315500,1931959281
"03:08:48 2008-Apr-23","234.0","77.64",0,0,0,1728435474,127845972,5236568,1918309514
"03:08:49 2008-Apr-23","234.0","79.74","11.76","101.96","10.59",1736686078,128451984,5255556,1938812854
"03:08:50 2008-Apr-23","233.0","82.34",0,0,0,1752463403,129614670,5287910,1964614170
"03:08:51 2008-Apr-23","234.0","79.06",0,0,0,1742620687,128878552,5272324,1935541983
"03:08:52 2008-Apr-23","234.0","81.02","4.9","39.22","3.92",1719289676,127137204,5195629,1906938459
"03:08:53 2008-Apr-23","234.0","80.90",0,0,0,1737814169,128528537,5275783,1937376624
"03:08:54 2008-Apr-23","233.0","79.43","16.16","185.86","12.12",1718926127,127142665,5220531,1907231330
"03:08:55 2008-Apr-23","234.0","77.88",0,0,0,1718895687,127128515,5196449,1921343217
"03:08:56 2008-Apr-23","234.0","81.74",0,0,0,1730312931,127996718,5217425,1949196591
"03:08:57 2008-Apr-23","232.0","79.80","0.97","7.77","1.94",1745839895,129142638,5317220,1958325096
"03:08:58 2008-Apr-23","234.0","81.90",0,0,0,1747306691,129246630,5295462,1967914551
"03:08:59 2008-Apr-23","232.0","80.64","12.12","105.05","10.51",1718891646,127127372,5210255,1917447407
"03:09:00 2008-Apr-23","235.0","78.52",0,0,0,1750647176,129474977,5266249,1961661029
"03:09:01 2008-Apr-23","234.0","79.77",0,0,0,1743127012,128909008,5284259,1940188961
"03:09:02 2008-Apr-23","233.0","78.23","0.98","7.84","1.96",1804217973,133439199,5454896,1955534416
"03:09:03 2008-Apr-23","235.0","78.81",0,0,0,1886787397,131584630,5809254,2013994188
"03:09:04 2008-Apr-23","236.0","79.39",12,144,"10.4",1719681518,127174416,5207015,1905855563
"03:09:05 2008-Apr-23","232.0","77.29",0,0,0,1732874032,128172090,5229727,1919098260
"03:09:06 2008-Apr-23","234.0","80.63",0,0,0,1779309234,131596160,5354867,2003539089
